Symbol,Name,Sector,Search Name
MMM,3M,Industrials,3M
AOS,A. O. Smith,Industrials,A. O. Smith
ABT,Abbott Laboratories,Health Care,Abbott Laboratories
ABBV,AbbVie,Health Care,AbbVie
ABMD,Abiomed,Health Care,Abiomed
ACN,Accenture,Information Technology,Accenture
ATVI,Activision Blizzard,Communication Services,Activision Blizzard
ADM,ADM,Consumer Staples,ADM
ADBE,Adobe,Information Technology,Adobe
AAP,Advance Auto Parts,Consumer Discretionary,Advance Auto Parts
AMD,Advanced Micro Devices,Information Technology,Advanced Micro Devices
AES,AES Corp,Utilities,AES Corp
AFL,Aflac,Financials,Aflac
A,Agilent Technologies,Health Care,Agilent Technologies
APD,Air Products & Chemicals,Materials,Air Products & Chemicals
AKAM,Akamai Technologies,Information Technology,Akamai Technologies
ALK,Alaska Air Group,Industrials,Alaska Air Group
ALB,Albemarle Corporation,Materials,Albemarle Corporation
ARE,Alexandria Real Estate Equities,Real Estate,Alexandria Real Estate Equities
ALGN,Align Technology,Health Care,Align Technology
ALLE,Allegion,Industrials,Allegion
LNT,Alliant Energy,Utilities,Alliant Energy
ALL,Allstate Corp,Financials,Allstate
GOOGL,Alphabet (Class A),Communication Services,Google
GOOG,Alphabet (Class C),Communication Services,Google
MO,Altria Group,Consumer Staples,Altria Group
AMZN,Amazon,Consumer Discretionary,Amazon
AMCR,Amcor,Materials,Amcor
AEE,Ameren Corp,Utilities,Ameren
AAL,American Airlines Group,Industrials,American Airlines
AEP,American Electric Power,Utilities,American Electric Power
AXP,American Express,Financials,American Express
AIG,American International Group,Financials,American International Group
AMT,American Tower,Real Estate,American Tower
AWK,American Water Works,Utilities,American Water Works
AMP,Ameriprise Financial,Financials,Ameriprise Financial
ABC,AmerisourceBergen,Health Care,AmerisourceBergen
AME,Ametek,Industrials,Ametek
AMGN,Amgen,Health Care,Amgen
APH,Amphenol,Information Technology,Amphenol
ADI,Analog Devices,Information Technology,Analog Devices
ANSS,Ansys,Information Technology,Ansys
ANTM,Anthem,Health Care,Anthem
AON,Aon,Financials,Aon
APA,APA Corporation,Energy,APA Corporation
AAPL,Apple,Information Technology,Apple
AMAT,Applied Materials,Information Technology,Applied Materials
APTV,Aptiv,Consumer Discretionary,Aptiv
ANET,Arista Networks,Information Technology,Arista Networks
AJG,Arthur J. Gallagher & Co.,Financials,Arthur J. Gallagher & Co.
AIZ,Assurant,Financials,Assurant
T,AT&T,Communication Services,AT&T
ATO,Atmos Energy,Utilities,Atmos Energy
ADSK,Autodesk,Information Technology,Autodesk
ADP,Automatic Data Processing,Information Technology,Automatic Data Processing
AZO,AutoZone,Consumer Discretionary,AutoZone
AVB,AvalonBay Communities,Real Estate,AvalonBay Communities
AVY,Avery Dennison,Materials,Avery Dennison
BKR,Baker Hughes,Energy,Baker Hughes
BLL,Ball Corp,Materials,Ball Corp
BAC,Bank of America,Financials,Bank of America
BBWI,Bath & Body Works Inc.,Consumer Discretionary,Bath & Body Works
BAX,Baxter International,Health Care,Baxter International
BDX,Becton Dickinson,Health Care,Becton Dickinson
BRK.B,Berkshire Hathaway,Financials,Berkshire
BBY,Best Buy,Consumer Discretionary,Best Buy
BIO,Bio-Rad Laboratories,Health Care,Bio-Rad Laboratories
TECH,Bio-Techne,Health Care,Bio-Techne
BIIB,Biogen,Health Care,Biogen
BLK,BlackRock,Financials,BlackRock
BK,BNY Mellon,Financials,BNY Mellon
BA,Boeing,Industrials,Boeing
BKNG,Booking Holdings,Consumer Discretionary,Booking Holdings
BWA,BorgWarner,Consumer Discretionary,BorgWarner
BXP,Boston Properties,Real Estate,Boston Properties
BSX,Boston Scientific,Health Care,Boston Scientific
BMY,Bristol Myers Squibb,Health Care,Bristol Myers Squibb
AVGO,Broadcom,Information Technology,Broadcom
BR,Broadridge Financial Solutions,Information Technology,Broadridge Financial Solutions
BRO,Brown & Brown,Financials,Brown & Brown
BF.B,Brown–Forman,Consumer Staples,Brown–Forman
CHRW,C. H. Robinson,Industrials,C. H. Robinson
CDNS,Cadence Design Systems,Information Technology,Cadence Design Systems
CZR,Caesars Entertainment,Consumer Discretionary,Caesars Entertainment
CPB,Campbell Soup,Consumer Staples,Campbell Soup
COF,Capital One Financial,Financials,Capital One Financial
CAH,Cardinal Health,Health Care,Cardinal Health
KMX,CarMax,Consumer Discretionary,CarMax
CCL,Carnival Corporation,Consumer Discretionary,Carnival
CARR,Carrier Global,Industrials,Carrier Global
CTLT,Catalent,Health Care,Catalent
CAT,Caterpillar,Industrials,Caterpillar
CBOE,Cboe Global Markets,Financials,Cboe Global Markets
CBRE,CBRE,Real Estate,CBRE
CDW,CDW,Information Technology,CDW
CE,Celanese,Materials,Celanese
CNC,Centene Corporation,Health Care,Centene Corporation
CNP,CenterPoint Energy,Utilities,CenterPoint Energy
CDAY,Ceridian,Information Technology,Ceridian
CERN,Cerner,Health Care,Cerner
CF,CF Industries,Materials,CF Industries
CRL,Charles River Laboratories,Health Care,Charles River Laboratories
SCHW,Charles Schwab Corporation,Financials,Charles Schwab
CHTR,Charter Communications,Communication Services,Charter Communications
CVX,Chevron Corporation,Energy,Chevron
CMG,Chipotle Mexican Grill,Consumer Discretionary,Chipotle
CB,Chubb,Financials,Chubb
CHD,Church & Dwight,Consumer Staples,Church & Dwight
CI,Cigna,Health Care,Cigna
CINF,Cincinnati Financial,Financials,Cincinnati Financial
CTAS,Cintas Corporation,Industrials,Cintas
CSCO,Cisco Systems,Information Technology,Cisco
